Key,,Id,Korean(ko),English(en)
FoodName700042,,2.61736E+15,단새우 초밥 (1P),FoodName700042
FoodName700043,,2.61736E+15,장어 초밥 (1P),FoodName700043
FoodName700044,,2.61736E+15,돈가스,FoodName700044
FoodName700045,,2.61736E+15, 튀김우동,FoodName700045
FoodName700046,,2.61736E+15,스테이크 ,FoodName700046
FoodName700047,,2.61736E+15,돼지뼈 라멘,FoodName700047
FoodName700048,,2.61736E+15,닭 육수 라멘,FoodName700048
FoodName700049,,2.61736E+15,우동면 라멘 ,FoodName700049
FoodName700050,,2.61736E+15,리얼 게살 초밥 (1P),FoodName700050
FoodName700051,,2.61736E+15,방어 초밥(1P),FoodName700051
FoodName700052,,2.61736E+15,계란튀김 초밥(2P),FoodName700052
FoodName700053,,2.61736E+15,소고시 튀김 초밥(2P) ,FoodName700053
FoodName700054,,2.61736E+15,야끼토리2,FoodName700054
FoodName700055,,2.61736E+15,해산물 구이,FoodName700055
FoodName700056,,2.61736E+15,돈코츠 라멘 ,FoodName700056
FoodName700057,,2.61736E+15,마늘 기름 라멘 ,FoodName700057
FoodName700058,,2.61736E+15,매운 땅콩 소스 라멘,FoodName700058
FoodName700059,,2.61736E+15,성게알 초밥(1P),FoodName700059
FoodName700060,,2.61736E+15,파 라멘,FoodName700060
FoodName700061,,2.61736E+15,김치 까르보나라,FoodName700061
FoodName700062,,2.61736E+15,불고기 그라탕,FoodName700062
FoodName700063,,2.61736E+15,참치 마요 크로켓,FoodName700063
FoodName700064,,2.61736E+15,트러플 감자전 튀김,FoodName700064
FoodName700065,,2.61736E+15,인도식 난 피자,FoodName700065
FoodName700066,,2.61736E+15,라따뚜이,FoodName700066
FoodName700067,,2.61736E+15,유부 타코 야끼소바,FoodName700067
FoodName700068,,2.61736E+15,불고기 샌드위치,FoodName700068
FoodName700069,,2.61736E+15,비빕밥 롤,FoodName700069
FoodName700070,,2.61736E+15,타코야끼 리조또,FoodName700070
FoodName700071,,2.61736E+15,실비 김치 버거,FoodName700071
FoodName700072,,2.61736E+15,불닭튀김 리조또,FoodName700072
FoodName700073,,2.61736E+15,오코노미야끼 핫도그,FoodName700073
FoodName700074,,2.61736E+15,마라 핫도그,FoodName700074
FoodName700075,,2.61736E+15,오코노미야끼  감자튀김,FoodName700075
FoodName700076,,2.61736E+15,스테이크 김치 철판 볶음밥,FoodName700076
FoodName700077,,2.61736E+15,닭강정 샌드위치,FoodName700077
FoodName700078,,2.61736E+15,갈비버거,FoodName700078
FoodName700079,,2.61736E+15,와사비 크림 파스타,FoodName700079
FoodName700080,,2.61736E+15,단짠 양념 새우 리조또,FoodName700080
FoodName700081,,2.61736E+15,바삭한 김치전 치즈 덮밥,FoodName700081
FoodName700082,,2.61736E+15,불닭튀김 리조또,FoodName700082
FoodName700083,,2.61736E+15,그린커리 치킨 철판 볶음밥,FoodName700083
FoodName700084,,2.61736E+15,마라 샌드위치,FoodName700084
FoodName700085,,2.61736E+15,제육볶음 바게트 샌드위치,FoodName700085
FoodName700086,,2.61736E+15,일본식 카레 철판 볶음밥,FoodName700086
FoodName700087,,2.61736E+15,쌀국수 김치전골,FoodName700087
FoodName700088,,2.61736E+15,똠양 불고기 그라탕,FoodName700088
FoodName700089,,2.61736E+15,똠양 불고기 튀김,FoodName700089
FoodName700090,,2.61736E+15,바질 양고기탕,FoodName700090
Restaurant1,,2.62303E+15,겉바속촉 빵집,Restaurant1
Restaurant2,,2.62303E+15,소금빵의 성지,Restaurant2
Restaurant3,,2.62303E+15,바게트 왕국,Restaurant3
Restaurant4,,2.62303E+15,빵순이네 베이커리,Restaurant4
Restaurant5,,2.62303E+15,크림빵 도둑,Restaurant5
Restaurant6,,2.62303E+15,버터향 가득한 빵집,Restaurant6
Restaurant7,,2.62303E+15,모닝빵의 전설,Restaurant7
Restaurant8,,2.62303E+15,앙버터 천국,Restaurant8
Restaurant9,,2.62303E+15,초코크로와상 연구소,Restaurant9
Restaurant10,,2.62303E+15,따끈따끈 빵 굽는 집,Restaurant10
Restaurant11,,2.62303E+15,식빵 명가,Restaurant11
Restaurant12,,2.62303E+15,쿠키몬스터 베이커리,Restaurant12
Restaurant13,,2.62303E+15,달콤한 시간,Restaurant13
Restaurant14,,2.62303E+15,마카롱 궁전,Restaurant14
Restaurant15,,2.62303E+15,빵으로 만든 꿈,Restaurant15
Restaurant16,,2.62303E+15,버터폭탄 빵집,Restaurant16
Restaurant17,,2.62303E+15,도넛이 날 부른다,Restaurant17
Restaurant18,,2.62303E+15,크림샌드빵 연구소,Restaurant18
Restaurant19,,2.62303E+15,빵집 대장네,Restaurant19
Restaurant20,,2.62303E+15,오븐 속 작은 마법사,Restaurant20
Restaurant21,,2.62303E+15,에그타르트 마스터,Restaurant21
Restaurant22,,2.62303E+15,따끈한 오후의 빵집,Restaurant22
Restaurant23,,2.62303E+15,빵과 커피의 조화,Restaurant23
Restaurant24,,2.62303E+15,초코빵의 유혹,Restaurant24
Restaurant25,,2.62303E+15,촉촉한 밤 베이커리,Restaurant25
Restaurant26,,2.62303E+15,카스테라 천국,Restaurant26
Restaurant27,,2.62303E+15,페이스트리 궁전,Restaurant27
Restaurant28,,2.62303E+15,달달 베이커리,Restaurant28
Restaurant29,,2.62303E+15,초코칩 쿠키의 성지,Restaurant29
Restaurant30,,2.62303E+15,버터 스콘 카페,Restaurant30
Restaurant31,,2.62303E+15,브레드 헤븐,Restaurant31
Restaurant32,,2.62303E+15,크루아상과 친구들,Restaurant32
Restaurant33,,2.62303E+15,빵과 사랑 이야기,Restaurant33
Restaurant34,,2.62303E+15,아몬드빵 연구소,Restaurant34
Restaurant35,,2.62303E+15,치즈케이크의 마법,Restaurant35
Restaurant36,,2.62303E+15,파이&타르트 전문점,Restaurant36
Restaurant37,,2.62303E+15,브레드 아카데미,Restaurant37
Restaurant38,,2.62303E+15,하루 한 조각,Restaurant38
Restaurant39,,2.62303E+15,달콤한 슈크림 천국,Restaurant39
Restaurant40,,2.62303E+15,디저트 도둑,Restaurant40
Restaurant41,,2.62303E+15,프랑스식 빵 굽는 집,Restaurant41
Restaurant42,,2.62303E+15,밀가루 향기 가득한 곳,Restaurant42
Restaurant43,,2.62303E+15,식빵 마법사의 집,Restaurant43
Restaurant44,,2.62303E+15,빵 속의 인생,Restaurant44
Restaurant45,,2.62303E+15,바삭 촉촉 빵 공방,Restaurant45
Restaurant46,,2.62303E+15,따끈따끈 구운 빵,Restaurant46
Restaurant47,,2.62303E+15,크림 가득 베이커리,Restaurant47
Restaurant48,,2.62303E+15,소보루왕국,Restaurant48
Restaurant49,,2.62303E+15,쿠키&브레드 하우스,Restaurant49
Restaurant50,,2.62303E+15,사시미의 달인,Restaurant50
Restaurant51,,2.62303E+15,초밥 먹는 고양이,Restaurant51
Restaurant52,,2.62303E+15,연어초밥 왕국,Restaurant52
Restaurant53,,2.62303E+15,돈카츠 대장네,Restaurant53
Restaurant54,,2.62303E+15,우동의 신세계,Restaurant54
Restaurant55,,2.62303E+15,이자카야 밤,Restaurant55
Restaurant56,,2.62303E+15,라멘 장인의 집,Restaurant56
Restaurant57,,2.62303E+15,참치뱃살 전문점,Restaurant57
Restaurant58,,2.62303E+15,야키소바 마스터,Restaurant58
Restaurant59,,2.62303E+15,미소국의 정석,Restaurant59
Restaurant60,,2.62303E+15,사케와 초밥의 조화,Restaurant60
Restaurant61,,2.62303E+15,회전초밥 스테이션,Restaurant61
Restaurant62,,2.62303E+15,텐동 마법사,Restaurant62
Restaurant63,,2.62303E+15,유부초밥 연구소,Restaurant63
Restaurant64,,2.62303E+15,와사비 초밥 하우스,Restaurant64
Restaurant65,,2.62303E+15,사케 한 잔 어때,Restaurant65
Restaurant66,,2.62303E+15,규동 맛집,Restaurant66
Restaurant67,,2.62303E+15,연어 덮밥의 전설,Restaurant67
Restaurant68,,2.62303E+15,오니기리 마을,Restaurant68
Restaurant69,,2.62303E+15,일본 가정식 전문점,Restaurant69
Restaurant70,,2.62303E+15,라멘과 돈부리,Restaurant70
Restaurant71,,2.62303E+15,아부리 초밥 천국,Restaurant71
Restaurant72,,2.62303E+15,바삭한 가츠동,Restaurant72
Restaurant73,,2.62303E+15,야키토리의 신,Restaurant73
Restaurant74,,2.62303E+15,스시 마에스트로,Restaurant74
Restaurant75,,2.62303E+15,일식요리 장인의 집,Restaurant75
Restaurant76,,2.62303E+15,일본 카레의 정석,Restaurant76
Restaurant77,,2.62303E+15,타코야키 홀릭,Restaurant77
Restaurant78,,2.62303E+15,텐푸라 명가,Restaurant78
Restaurant79,,2.62303E+15,후토마키 마스터,Restaurant79
Restaurant80,,2.62303E+15,장어덮밥 연구소,Restaurant80
Restaurant81,,2.62303E+15,혼밥 스시집,Restaurant81
Restaurant82,,2.62303E+15,"스시, 사케 그리고 나",Restaurant82
Restaurant83,,2.62303E+15,야키니쿠 궁전,Restaurant83
Restaurant84,,2.62303E+15,일본식 함박스테이크,Restaurant84
Restaurant85,,2.62303E+15,츠케멘 맛집,Restaurant85
Restaurant86,,2.62303E+15,사시미의 전설,Restaurant86
Restaurant87,,2.62303E+15,교자와 라멘의 조화,Restaurant87
Restaurant88,,2.62303E+15,돈부리 천국,Restaurant88
Restaurant89,,2.62303E+15,마제소바 맛집,Restaurant89
Restaurant90,,2.62303E+15,오마카세 초밥 하우스,Restaurant90
Restaurant91,,2.62303E+15,김초밥 롤 천국,Restaurant91
Restaurant92,,2.62303E+15,한 입에 사르르 스시,Restaurant92
Restaurant93,,2.62303E+15,후토마키 공방,Restaurant93
Restaurant94,,2.62303E+15,스시 로드,Restaurant94
Restaurant95,,2.62303E+15,라멘의 달인,Restaurant95
Restaurant96,,2.62303E+15,사케 & 사시미 하우스,Restaurant96
Restaurant97,,2.62303E+15,타마고초밥 전문점,Restaurant97
Restaurant98,,2.62303E+15,도쿄 스타일 초밥집,Restaurant98
Restaurant99,,2.62303E+15,김치타코 마스터,Restaurant99
Restaurant100,,2.62303E+15,불닭파스타 연구소,Restaurant100
Restaurant101,,2.62303E+15,라멘버거 크리에이터,Restaurant101
Restaurant102,,2.62303E+15,짜장파스타 전문점,Restaurant102
Restaurant103,,2.62303E+15,떡볶이 피자 하우스,Restaurant103
Restaurant104,,2.62303E+15,마라 불고기버거,Restaurant104
Restaurant105,,2.62303E+15,한식 멕시칸 레스토랑,Restaurant105
Restaurant106,,2.62303E+15,퓨전 타코 천국,Restaurant106
Restaurant107,,2.62303E+15,버거 덮밥 연구소,Restaurant107
Restaurant108,,2.62303E+15,불고기치즈버거 왕국,Restaurant108
Restaurant109,,2.62303E+15,치즈퐁듀 삼겹살,Restaurant109
Restaurant110,,2.62303E+15,짜파구리 스테이션,Restaurant110
Restaurant111,,2.62303E+15,스테이크 덮밥 연구소,Restaurant111
Restaurant112,,2.62303E+15,매운라면 피자집,Restaurant112
Restaurant113,,2.62303E+15,한식 퓨전 전문가,Restaurant113
Restaurant114,,2.62303E+15,연어 포케 하우스,Restaurant114
Restaurant115,,2.62303E+15,핫도그 덮밥 가능,Restaurant115
Restaurant116,,2.62303E+15,페페로니쌈장피자,Restaurant116
Restaurant117,,2.62303E+15,불닭 크림파스타,Restaurant117
Restaurant118,,2.62303E+15,마라떡볶이 스페셜,Restaurant118
Restaurant119,,2.62303E+15,퓨전음식 혁명가,Restaurant119
Restaurant120,,2.62303E+15,타코야끼 피자집,Restaurant120
Restaurant121,,2.62303E+15,고추장 치즈스테이크,Restaurant121
Restaurant122,,2.62303E+15,라멘&불고기 타코,Restaurant122
Restaurant123,,2.62303E+15,한식 버거 연구소,Restaurant123
Restaurant124,,2.62303E+15,마라 크림파스타,Restaurant124
Restaurant125,,2.62303E+15,치즈불닭 스파게티,Restaurant125
Restaurant126,,2.62303E+15,퓨전 덮밥 스페셜,Restaurant126
Restaurant127,,2.62303E+15,치킨와플의 정석,Restaurant127
Restaurant128,,2.62303E+15,퓨전 스테이크 하우스,Restaurant128
Restaurant129,,2.62303E+15,햄버거 김밥 OK,Restaurant129
Restaurant130,,2.62303E+15,버터치킨 타코,Restaurant130
Restaurant131,,2.62303E+15,퓨전 한식 연구소,Restaurant131
Restaurant132,,2.62303E+15,피자 떡볶이 마법사,Restaurant132
Restaurant133,,2.62303E+15,고추장 까르보나라,Restaurant133
Restaurant134,,2.62303E+15,불닭 김치 크로켓,Restaurant134
Restaurant135,,2.62303E+15,바질 떡볶이 연구소,Restaurant135
Restaurant136,,2.62303E+15,마라 짬뽕 덮밥,Restaurant136
Restaurant137,,2.62303E+15,퓨전 요리의 달인,Restaurant137
Restaurant138,,2.62303E+15,BBQ 타코 하우스,Restaurant138
Restaurant139,,2.62303E+15,퓨전 치킨 파라다이스,Restaurant139
Restaurant140,,2.62303E+15,치즈 김치볶음밥,Restaurant140
Restaurant141,,2.62303E+15,매운 치킨버거 연구소,Restaurant141
Restaurant142,,2.62303E+15,아시아 이탈리아,Restaurant142
Restaurant143,,2.62303E+15,한식 퓨전 실험실,Restaurant143
Restaurant144,,2.62303E+15,"크로켓, 덮밥 왕국",Restaurant144
Restaurant145,,2.62303E+15,퓨전 레스토랑 101,Restaurant145
Restaurant146,,2.62303E+15,치즈 폭탄 떡볶이,Restaurant146
Restaurant147,,2.62303E+15,한식양식 마법사,Restaurant147
HallStaff,,2.28933E+15,홀직원,HallStaff
KitchenStaff,,2.28933E+15,주방직원,KitchenStaff
CashierStaff,,2.28934E+15,계산원,cashierStaff
Employment,,2.29138E+15,고용,Employment
Education,,2.29142E+15,교육,Education
Completed,,2.29144E+15,완료됨,Completed
MoneyFormat,,2.55987E+15,돈 : {0},Money : {0}
CoffeeMachine,,2.61361E+15,커피머신,CoffeeMachine
DrinkingFountain,,2.61361E+15,음수대,DrinkingFountain
SparklingWaterMaker,,2.61361E+15,탄산수제조대,SparklingWaterMaker
Blender,,2.61361E+15,블렌더,Blender
Oven,,2.61361E+15,오븐,Oven
Check,,2.61587E+15,확인,Check
Upgrade,,2.61587E+15,업그레이드,Upgrade
NetworkFailureAlertTitle,,2.70438E+15,네트워크 연결 실패!,NetworkFailure!
NetworkFailureAlertDescription,,2.70438E+15,"네트워크에 연결할 수
없습니다.
타이틀 화면으로 돌아갑니다.","Network Connection failure.
Return to Title."
TokenExpiredAlertTitle,,2.70438E+15,로그인 토큰 만료!,Login Token Expired!
TokenExpiredAlertDescription,,2.70438E+15,"토큰이 만료되었습니다.
타이틀 화면으로 돌아갑니다","Login Token is Expired, Return to Title"
ServerConnectionFailureAlertTitle,,2.70438E+15,"서버 연결 실패
",Server connection failure
ServerConnectionFailureAlertDescription,,2.70438E+15,현재 서버와 연결할 수 없습니다.,Can't connect with server
Player,,2.70467E+15,플레이어,Player
ShortOnMoney,,3.99956E+15,돈이부족합니다,short on Money
SNSPromotionEffectText,,4.01239E+15,손님 유입속도 증가,SNSPromotion
PDPromotionEffectText,,4.01259E+15,직원 작업&이동 속도 증가,PDPromotion
ChefPromotionEffectText,,4.01267E+15,두 명 손님 등장확률 증가,ChefPromotion
ItuberPromotionEffectText,,4.01284E+15,손님 유입속도 증가,ItuberPromotion
MissionName97011001,,4.8417E+15,카운터 구매하기,Purchase counter
MissionName97011002,,4.8417E+15,테이블 1 구매하기,Purchase 1 table
MissionName97011003,,4.8417E+15,쓰레기통 구매하기,Purchase trash bin
MissionName97011004,,4.8417E+15,싱크대 구매하기,Purchase sink
MissionName97011005,,4.8417E+15,커피머신 1 구매하기,Purchase 1 coffee machine
MissionName97011006,,4.8417E+15,에스프레소 해금하기,Unlock espresso
MissionName97011007,,4.8417E+15,에스프레소 {0}회 판매하기,Sell espresso {0} times
MissionName97011008,,4.8417E+15,계산원 1 고용하기,Hire 1 cashier
MissionName97011009,,4.8417E+15,홀 직원 1 고용하기,Hire 1 hall staff
MissionName97011010,,4.8417E+15,주방 직원 1 고용하기,Hire 1 kitchen staff
MissionName97011011,,4.8417E+15,SNS 홍보 1회 하기,Promote on SNS once
MissionName97011012,,4.8417E+15,테이블 1 업그레이드 {0}회하기,Upgrade 1 table {0} times
MissionName97011013,,4.8417E+15,커피머신 1 업그레이드 {0}회하기,Upgrade 1 coffee machine {0} times
MissionName97011014,,4.8417E+15,에스프레소 업그레이드 {0}회 하기,Upgrade espresso {0} times
MissionName97011015,,4.8417E+15,물 디스펜서 1 구매하기,Purchase 1 water dispenser
MissionName97011016,,4.8417E+15,밀크티 해금하기,Unlock milk tea
MissionName97011017,,4.8417E+15,밀크티 {0}회 판매하기,Sell milk tea {0} times
MissionName97011018,,4.8417E+15,메뉴판 구매하기,Purchase menu board
MissionName97011019,,4.8417E+15,카운터 업그레이드 하기,Upgrade counter
MissionName97011020,,4.8417E+15,손님들의 만족도 '매우 만족' {0}회 띄우기,Achieve 'Very Satisfied' from {0} customers
MissionName97011021,,4.8417E+15,홀 인테리어 벽지 업그레이드 하기,Upgrade hall wallpaper
MissionName97011022,,4.8417E+15,홀 인테리어 바닥 업그레이드 하기,Upgrade hall floor
MissionName97011023,,4.8417E+15,팁 {0}회 받기,Receive tip {0} times
MissionName97011024,,4.8417E+15,탄산수 제조기 1 구매하기,Purchase 1 soda maker
MissionName97011025,,4.8417E+15,레몬 에이드 {0}회 판매하기,Sell lemonade {0} times
MissionName97011026,,4.8417E+15,아이튜버 등장 {0}회 하기,Have Ituber appear {0} times
MissionName97011027,,4.8417E+15,계산원 1 업그레이드 하기,Upgrade 1 cashier
MissionName97011028,,4.8417E+15,쓰레기통 업그레이드 하기,Upgrade trash bin
MissionName97011029,,4.8417E+15,홀 직원 1 업그레이드 하기,Upgrade 1 hall staff
MissionName97011030,,4.8417E+15,주방 직원 1 업그레이드 하기,Upgrade 1 kitchen staff
MissionName97011031,,4.8417E+15,블렌더 1 구매하기,Purchase 1 blender
MissionName97011032,,4.8417E+15,초코 프라페 해금하기,Unlock choco frappe
MissionName97011033,,4.8417E+15,초코 프라페 {0}회 판매하기,Sell choco frappe {0} times
MissionName97011034,,4.8417E+15,방송 PD 등장 {0}회 하기,Have broadcasting PD appear {0} times
MissionName97011035,,4.8417E+15,오븐 1 구매하기,Purchase 1 oven
MissionName97011036,,4.8417E+15,블루베리 머핀 해금하기,Unlock blueberry muffin
MissionName97011037,,4.8417E+15,블루 베리 {0}회 판매하기,Sell blueberry {0} times
MissionName97011038,,4.8417E+15,주방 인테리어 벽지 업그레이드 하기,Upgrade kitchen wallpaper
MissionName97011039,,4.8417E+15,주방 인테리어 바닥 업그레이드 하기,Upgrade kitchen floor
MissionName97011040,,4.8417E+15,스타셰프 등장 {0}회 하기,Have star chef appear {0} times
MissionName97011041,,4.8417E+15,맛집 랭킹 {0} 달성하기,Achieve food ranking {0}
MissionName97012001,,4.8417E+15,카운터 구매하기,Purchase counter
MissionName97012002,,4.8417E+15,테이블 1 구매하기,Purchase 1 table
MissionName97012003,,4.8417E+15,쓰레기통 구매하기,Purchase trash bin
MissionName97012004,,4.8417E+15,싱크대 구매하기,Purchase sink
MissionName97012005,,4.8417E+15,초밥 조리대 1 구매하기,Purchase 1 sushi counter
MissionName97012006,,4.8417E+15,참치 뱃살 초밥 해금하기,Unlock tuna belly sushi
MissionName97012007,,4.8417E+15,참치 뱃살 초밥 {0}회 판매하기,Sell tuna belly sushi {0} times
MissionName97012008,,4.8417E+15,계산원 1 고용하기,Hire 1 cashier
MissionName97012009,,4.8417E+15,홀 직원 1 고용하기,Hire 1 hall staff
MissionName97012010,,4.8417E+15,주방 직원 1 고용하기,Hire 1 kitchen staff
MissionName97012011,,4.8417E+15,SNS 홍보 1회 하기,Promote on SNS once
MissionName97012012,,4.8417E+15,테이블 1 업그레이드 {0}회하기,Upgrade 1 table {0} times
MissionName97012013,,4.8417E+15,초밥 조리대 1 업그레이드 {0}회하기,Upgrade 1 sushi counter {0} times
MissionName97012014,,4.8417E+15,참치 뱃살 초밥 업그레이드 {0}회 하기,Upgrade tuna belly sushi {0} times
MissionName97012015,,4.8417E+15,튀김기 1 구매하기,Purchase 1 fryer
MissionName97012016,,4.8417E+15,덴푸라 해금하기,Unlock tempura
MissionName97012017,,4.8417E+15,덴푸라 {0}회 판매하기,Sell tempura {0} times
MissionName97012018,,4.8417E+15,메뉴판 구매하기,Purchase menu board
MissionName97012019,,4.8417E+15,카운터 구매하기,Upgrade counter
MissionName97012020,,4.8417E+15,팁 {0}회 받기,Receive tip {0} times
MissionName97012021,,4.8417E+15,홀 인테리어 벽지 업그레이드 하기,Upgrade hall wallpaper
MissionName97012022,,4.8417E+15,홀 인테리어 바닥 업그레이드 하기,Upgrade hall floor
MissionName97012023,,4.8417E+15,손님들의 만족도 '매우 만족' {0}회 띄우기,Achieve 'Very Satisfied' from n customers
MissionName97012024,,4.8417E+15,숯불 화로 1 구매하기,Purchase 1 charcoal grill
MissionName97012025,,4.8417E+15,야끼토리 1 {0}회 판매하기,Sell yakitori 1 {0} times
MissionName97012026,,4.8417E+15,아이튜버 등장 {0}회 하기,Have Ituber appear {0} times
MissionName97012027,,4.8417E+15,계산원 1 업그레이드 하기,Upgrade 1 cashier
MissionName97012028,,4.8417E+15,쓰레기통 업그레이드 하기,Upgrade trash bin
MissionName97012029,,4.8417E+15,홀 직원 1 업그레이드 하기,Upgrade 1 hall staff
MissionName97012030,,4.8417E+15,주방 직원 1 업그레이드 하기,Upgrade 1 kitchen staff
MissionName97012031,,4.8417E+15,철판 1 구매하기,Purchase 1 teppan
MissionName97012032,,4.8417E+15,오코노미 야키 해금하기,Unlock okonomiyaki
MissionName97012033,,4.8417E+15,오코노미 야키 {0}회 판매하기,Sell okonomiyaki {0} times
MissionName97012034,,4.8417E+15,방송 PD 등장 {0}회 하기,Have broadcasting PD appear {0} times
MissionName97012035,,4.8417E+15,냄비 1 구매하기,Purchase 1 pot
MissionName97012036,,4.8417E+15,간장 라멘 해금하기,Unlock soy sauce ramen
MissionName97012037,,4.8417E+15,간장 라멘 {0}회 판매하기,Sell soy sauce ramen {0} times
MissionName97012038,,4.8417E+15,주방 인테리어 벽지 업그레이드 하기,Upgrade kitchen wallpaper
